timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692855510088,414,HTTP Request,200,OK,Thread Group 1-3,text,true,,3947,238,42,42,https://www.saucedemo.com/,138,0,65
1692855510088,138,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,654,119,42,42,http://www.saucedemo.com/,138,0,65
1692855510227,275,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,3293,119,42,42,https://www.saucedemo.com/,275,0,178
1692855510104,400,HTTP Request,200,OK,Thread Group 1-4,text,true,,3947,238,41,41,https://www.saucedemo.com/,137,0,66
1692855510104,137,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,654,119,41,41,http://www.saucedemo.com/,137,0,66
1692855510242,262,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,3293,119,41,41,https://www.saucedemo.com/,262,0,170
1692855510054,462,HTTP Request,200,OK,Thread Group 1-1,text,true,,3947,238,43,43,https://www.saucedemo.com/,137,0,66
1692855510054,137,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,654,119,43,43,http://www.saucedemo.com/,137,0,66
1692855510191,325,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3293,119,43,43,https://www.saucedemo.com/,325,0,214
1692855510071,459,HTTP Request,200,OK,Thread Group 1-2,text,true,,3947,238,45,45,https://www.saucedemo.com/,138,0,72
1692855510071,138,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,654,119,45,45,http://www.saucedemo.com/,138,0,72
1692855510209,321,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,3293,119,45,45,https://www.saucedemo.com/,321,0,206
1692855510105,442,HTTP Request,200,OK,Thread Group 1-5,text,true,,3947,238,44,44,https://www.saucedemo.com/,189,0,87
1692855510105,190,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,654,119,44,44,http://www.saucedemo.com/,189,0,87
1692855510295,252,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,3293,119,44,44,https://www.saucedemo.com/,252,0,150
1692855510118,461,HTTP Request,200,OK,Thread Group 1-7,text,true,,3947,238,44,44,https://www.saucedemo.com/,192,0,88
1692855510118,192,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,654,119,44,44,http://www.saucedemo.com/,192,0,88
1692855510311,268,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,3293,119,44,44,https://www.saucedemo.com/,268,0,147
1692855510140,450,HTTP Request,200,OK,Thread Group 1-9,text,true,,3947,238,45,45,https://www.saucedemo.com/,172,0,86
1692855510140,172,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,654,119,45,45,http://www.saucedemo.com/,172,0,86
1692855510313,277,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,3293,119,45,45,https://www.saucedemo.com/,277,0,147
1692855510109,549,HTTP Request,200,OK,Thread Group 1-6,text,true,,3947,238,53,53,https://www.saucedemo.com/,185,0,84
1692855510109,185,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,654,119,53,53,http://www.saucedemo.com/,185,0,84
1692855510297,361,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,3293,119,53,53,https://www.saucedemo.com/,361,0,191
1692855510148,566,HTTP Request,200,OK,Thread Group 1-10,text,true,,3947,238,56,56,https://www.saucedemo.com/,163,0,78
1692855510148,163,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,654,119,56,56,http://www.saucedemo.com/,163,0,78
1692855510312,402,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,3293,119,56,56,https://www.saucedemo.com/,402,0,226
1692855510159,567,HTTP Request,200,OK,Thread Group 1-11,text,true,,3947,238,56,56,https://www.saucedemo.com/,160,0,82
1692855510159,161,HTTP Request-0,301,Moved Permanently,Thread Group 1-11,text,true,,654,119,56,56,http://www.saucedemo.com/,160,0,82
1692855510320,406,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,3293,119,56,56,https://www.saucedemo.com/,406,0,243
1692855510128,614,HTTP Request,200,OK,Thread Group 1-8,text,true,,3950,238,59,59,https://www.saucedemo.com/,193,0,98
1692855510128,193,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,654,119,59,59,http://www.saucedemo.com/,193,0,98
1692855510321,421,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,3296,119,59,59,https://www.saucedemo.com/,420,0,246
1692855510202,553,HTTP Request,200,OK,Thread Group 1-15,text,true,,3947,238,59,59,https://www.saucedemo.com/,193,0,98
1692855510202,193,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,654,119,59,59,http://www.saucedemo.com/,193,0,98
1692855510395,360,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,3293,119,59,59,https://www.saucedemo.com/,360,0,221
1692855510190,581,HTTP Request,200,OK,Thread Group 1-14,text,true,,3947,238,59,59,https://www.saucedemo.com/,206,0,108
1692855510190,207,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,654,119,59,59,http://www.saucedemo.com/,206,0,108
1692855510397,374,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,3293,119,59,59,https://www.saucedemo.com/,360,0,226
1692855510246,528,HTTP Request,200,OK,Thread Group 1-18,text,true,,3947,238,58,58,https://www.saucedemo.com/,149,0,75
1692855510246,150,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,654,119,58,58,http://www.saucedemo.com/,149,0,75
1692855510396,378,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,3293,119,58,58,https://www.saucedemo.com/,378,0,230
1692855510169,618,HTTP Request,200,OK,Thread Group 1-12,text,true,,3947,238,58,58,https://www.saucedemo.com/,180,0,86
1692855510169,180,HTTP Request-0,301,Moved Permanently,Thread Group 1-12,text,true,,654,119,58,58,http://www.saucedemo.com/,180,0,86
1692855510350,437,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,3293,119,58,58,https://www.saucedemo.com/,436,0,257
1692855510213,611,HTTP Request,200,OK,Thread Group 1-16,text,true,,3947,238,57,57,https://www.saucedemo.com/,160,0,85
1692855510213,160,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,654,119,57,57,http://www.saucedemo.com/,160,0,85
1692855510373,451,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,3293,119,57,57,https://www.saucedemo.com/,451,0,265
1692855510222,603,HTTP Request,200,OK,Thread Group 1-17,text,true,,3947,238,56,56,https://www.saucedemo.com/,201,0,97
1692855510222,201,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,654,119,56,56,http://www.saucedemo.com/,201,0,97
1692855510425,400,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,3293,119,56,56,https://www.saucedemo.com/,400,0,231
1692855510181,651,HTTP Request,200,OK,Thread Group 1-13,text,true,,3948,238,55,55,https://www.saucedemo.com/,172,0,85
1692855510181,172,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,655,119,55,55,http://www.saucedemo.com/,172,0,85
1692855510354,478,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,3293,119,55,55,https://www.saucedemo.com/,462,0,257
1692855510281,557,HTTP Request,200,OK,Thread Group 1-23,text,true,,3948,238,54,54,https://www.saucedemo.com/,155,0,70
1692855510281,155,HTTP Request-0,301,Moved Permanently,Thread Group 1-23,text,true,,655,119,54,54,http://www.saucedemo.com/,155,0,70
1692855510440,398,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,3293,119,54,54,https://www.saucedemo.com/,389,0,246
1692855510249,602,HTTP Request,200,OK,Thread Group 1-19,text,true,,3947,238,53,53,https://www.saucedemo.com/,168,0,80
1692855510249,168,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,654,119,53,53,http://www.saucedemo.com/,168,0,80
1692855510418,433,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,3293,119,53,53,https://www.saucedemo.com/,433,0,259
1692855510261,594,HTTP Request,200,OK,Thread Group 1-21,text,true,,3947,238,52,52,https://www.saucedemo.com/,185,0,90
1692855510261,186,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,654,119,52,52,http://www.saucedemo.com/,185,0,90
1692855510447,408,HTTP Request-1,200,OK,Thread Group 1-21,text,true,,3293,119,52,52,https://www.saucedemo.com/,408,0,270
1692855510251,656,HTTP Request,200,OK,Thread Group 1-20,text,true,,3947,238,63,63,https://www.saucedemo.com/,186,0,85
1692855510251,186,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,654,119,63,63,http://www.saucedemo.com/,186,0,85
1692855510445,462,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,3293,119,63,63,https://www.saucedemo.com/,462,0,300
1692855510268,654,HTTP Request,200,OK,Thread Group 1-22,text,true,,3947,238,64,64,https://www.saucedemo.com/,180,0,85
1692855510268,180,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,654,119,64,64,http://www.saucedemo.com/,180,0,85
1692855510449,473,HTTP Request-1,200,OK,Thread Group 1-22,text,true,,3293,119,64,64,https://www.saucedemo.com/,473,0,310
1692855510356,626,HTTP Request,200,OK,Thread Group 1-31,text,true,,3947,238,64,64,https://www.saucedemo.com/,164,0,85
1692855510356,164,HTTP Request-0,301,Moved Permanently,Thread Group 1-31,text,true,,654,119,64,64,http://www.saucedemo.com/,164,0,85
